date,nav,units,fund_value,cash,total_value,fund_cost,total_deposit,unrealized_gain,unrealized_gain_pct,drawdown_pct,last_peak_nav,tp_sell_cash,dip_buy_cash,note
2016-04-15,2.761,1450.7900440429835,4005.6313116026777,3.0233326827192517,4008.654644285397,3996.976667317281,4000.0,8.654644285396444,0.21652976751563896,-12.114845938375344,3.1416,0.0,2.0155551218128345,回撤 -12.11%，逢低买入 0.73 份，花费 2.02
2016-04-18,2.7446,1451.2306667468704,3983.047687953461,1.813999609631551,3984.8616875630923,3998.186000390369,4000.0,-15.138312436908109,-0.378629519372787,-12.636872930990572,3.1416,0.0,1.2093330730877008,回撤 -12.64%，逢低买入 0.44 份，花费 1.21
2016-04-19,2.7411,1451.4953779372147,3978.693980463699,1.0883997657789304,3979.782380229478,3998.9116002342216,4000.0,-20.21761977052256,-0.5055780620241365,-12.748281130634073,3.1416,0.0,0.7255998438526204,回撤 -12.75%，逢低买入 0.26 份，花费 0.73
2016-04-20,2.6271,1451.661096755041,3813.658867285168,0.6530398594673582,3814.3119071446354,3999.346960140533,4000.0,-185.68809285536508,-4.642960330924631,-16.37700534759358,3.1416,0.0,0.4353599063115722,回撤 -16.38%，逢低买入 0.17 份，花费 0.44
2016-04-21,1.0,1451.922312698828,1451.922312698828,0.3918239156804149,1452.3141366145082,3999.60817608432,4000.0,-2547.6858633854918,-63.69838622241534,-68.16908581614463,3.1416,0.0,0.2612159437869433,回撤 -68.17%，逢低买入 0.26 份，花费 0.26
2016-04-22,1.0125,1452.0771073321832,1470.2280711738354,0.23509434940824894,1470.4631655232436,3999.764905650592,4000.0,-2529.5368344767567,-63.24213782923095,-67.77119938884645,3.1416,0.0,0.15672956627216597,回撤 -67.77%，逢低买入 0.15 份，花费 0.16
2016-04-25,1.0092,1452.1702878115366,1465.5302544594028,0.14105660964494937,1465.6713110690478,3999.8589433903553,4000.0,-2534.3286889309525,-63.36045157589503,-67.87624140565316,3.1416,0.0,0.09403773976329959,回撤 -67.88%，逢低买入 0.09 份，花费 0.09
2016-04-26,1.0173,1452.2257509432166,1477.3492564345343,0.08463396578696962,1477.4338904003212,3999.915366034213,4000.0,-2522.566109599679,-63.06548711056158,-67.61841100076393,3.1416,0.0,0.05642264385797975,回撤 -67.62%，逢低买入 0.06 份，花费 0.06
2016-04-27,1.0176,1452.259019011529,1477.8187777461321,0.05078037947218177,1477.8695581256043,3999.949219620528,4000.0,-2522.1304418743957,-63.05406152415276,-67.60886172650878,3.1416,0.0,0.03385358631478785,回撤 -67.61%，逢低买入 0.03 份，花费 0.03
2016-04-28,1.0161,1452.2790093193619,1475.6607013694036,0.030468227683309063,1475.6911695970869,3999.9695317723167,4000.0,-2524.3088304029134,-63.108201458835524,-67.65660809778457,3.1416,0.0,0.02031215178887271,回撤 -67.66%，逢低买入 0.02 份，花费 0.02
2016-04-29,1.0277,1452.290868121613,1492.5193251685816,0.018280936609985435,1492.5376061051916,3999.98171906339,4000.0,-2507.462393894808,-62.68684634093626,-67.28736949325184,3.1416,0.0,0.012187291073323626,回撤 -67.29%，逢低买入 0.01 份，花费 0.01
2016-05-03,1.0567,1641.5662654667856,1734.6430727187524,300.01096856196597,2034.6540412807183,4199.989031438034,4500.0,-2465.345958719281,-58.69886659859137,-66.36427298192005,3.1416,0.0,200.00731237464402,回撤 -66.36%，逢低买入 189.28 份，花费 200.01
2016-05-04,1.0487,1755.9978354341608,1841.5149300198043,180.00658113717958,2021.521511156984,4319.99341886282,4500.0,-2478.478488843016,-57.37227464331281,-66.6189202953909,3.1416,0.0,120.00438742478639,回撤 -66.62%，逢低买入 114.43 份，花费 120.00
2016-05-05,1.0506,1824.5326083780708,1916.853958362001,108.00394868230775,2024.8579070443088,4391.996051317692,4500.0,-2475.1420929556907,-56.355744951389376,-66.55844155844156,3.1416,0.0,72.00263245487183,回撤 -66.56%，逢低买入 68.53 份，花费 72.00
2016-05-06,1.0167,1867.0245720575467,1898.2038824109077,64.80236920938465,1963.0062516202922,4435.197630790615,4500.0,-2536.9937483797075,-57.20136867784773,-67.63750954927427,3.1416,0.0,43.2015794729231,回撤 -67.64%，逢低买入 42.49 份，花费 43.20
2016-05-09,0.9955,1893.0626912777916,1884.5439091670416,38.881421525630785,1923.4253306926723,4461.118578474369,4500.0,-2576.574669307328,-57.75624709326769,-68.31232492997198,3.1416,0.0,25.920947683753862,回撤 -68.31%，逢低买入 26.04 份，花费 25.92
2016-05-10,1.0066,1908.5132859631208,1921.1094736504772,23.32885291537847,1944.4383265658557,4476.671147084621,4500.0,-2555.561673434144,-57.08620511690753,-67.95900178253119,3.1416,0.0,15.552568610252315,回撤 -67.96%，逢低买入 15.45 份，花费 15.55
2016-05-11,1.0107,1917.7460366964258,1938.2659192890774,13.997311749227082,1952.2632310383044,4486.002688250773,4500.0,-2547.7367689616954,-56.79302813692995,-67.82849503437738,3.1416,0.0,9.331541166151387,回撤 -67.83%，逢低买入 9.23 份，花费 9.33
2016-05-12,1.0125,1923.27583886896,1947.3167868548219,8.398387049536248,1955.7151739043582,4491.601612950463,4500.0,-2544.2848260956416,-56.64538054220576,-67.77119938884645,3.1416,0.0,5.5989246996908335,回撤 -67.77%，逢低买入 5.53 份，花费 5.60
2016-05-13,1.0108,1926.5993003052624,1947.406572748559,5.039032229721749,1952.4456049782807,4494.960967770277,4500.0,-2547.5543950217184,-56.67578457940272,-67.825311942959,3.1416,0.0,3.3593548198144996,回撤 -67.83%，逢低买入 3.32 份，花费 3.36
2016-05-16,1.0266,1928.5626871081931,1979.862454585271,3.023419337833049,1982.885873923104,4496.976580662166,4500.0,-2517.1141260768954,-55.973476421935416,-67.3223834988541,3.1416,0.0,2.0156128918886997,回撤 -67.32%，逢低买入 1.96 份，花费 2.02
